school_ID,school_name,n_test_takers,mean_writing_score,mean_reading_score,mean_math_score
95O890,Dublin Institute for Advanced Studies,48,347,355,361
02P904,Trinity University School of Medicine,22,429,434,444
08S419,Shippensburg University of Pennsylvania,19,396,403,411
01K276,Taraba State University,50,368,376,383
67G804,Zimbabwe Open University,40,356,364,371
00G698,Niigata University of Management,86,444,449,459
57D259,Taipei Municipal Teachers College,10,330,339,344
76F366,Wenzhou Medical College,212,392,399,407
16E642,Palacky University,44,337,346,351
03W823,University of Alaska - Southeast,302,277,288,290
28F082,Institut Catholique d'Arts et Métiers Nantes,63,373,380,387
24C886,Tver State Medical Academy,29,361,369,376
65T670,Kyoto Seika University,41,427,432,442
61Q701,Central Academy of  Fine Art,71,446,451,461
16T016,American InterContinental University - Georgia,50,432,437,447
68I143,Gediz University,22,405,411,420
14L924,Université de Monastir,63,485,488,501
13E600,Royal University of Agriculture,32,483,486,498
80A501,University of Alabama - Tuscaloosa,10,377,384,391
49O663,Shanghai Second Medical University,17,352,360,367
57M369,College of Telecommunication & Information ,54,344,353,358
61G797,Singapore Management University,50,344,353,358
34X769,Balikesir University,192,402,408,417
97X780,Université Pierre et Marie Curie (Paris VI),63,445,450,460
61F900,Technical University of Sofia,53,339,348,353
79C187,University “Pavaresia” Vlore,60,377,384,391
90O522,Osaka Gakuin University,63,327,336,341
32U647,Universidad de Huelva,71,329,338,343
41V258,Kangnung National University,397,343,352,357
77R797,Universidad NUR,212,443,448,458
12C296,"Arizona State University, Tempe Campus",92,343,352,357
39U035,London School of Jewish Studies,60,442,447,457
81B729,Presbyterian University College,686,482,485,497
11Y246,Volgograd State University,125,378,385,392
36X284,Université d'Artois,627,366,374,381
62T851,Ecole des Ingénieurs de la Ville de Paris,16,416,422,432
92X942,Zhongnan University of Finance and Economics,68,476,480,492
03W105,University of Arkansas at Monticello,86,416,422,432
75Y960,Universitas Negeri Yogyakarta,136,411,417,426
61E312,Universidade Estadual de Santa Cruz,60,336,345,350
92A630,Suleyman Demirel University,75,353,361,368
04P186,Chuvash State University,40,412,418,427
02S289,Universidad de Las Palmas de Gran Canaria,18,301,311,315
03L884,Ho Chi Minh City University of Technology,116,345,354,359
19M088,Lead City University of Ibadan,87,409,415,424
10K407,"Islamic Azad University, Aliabad ",75,299,309,313
67R640,Tabor College,44,453,457,469
67L162,Bahria University,121,368,376,383
99N783,"Hochschule Anhalt (FH), Hochschule für angewandte Wissenschaften",302,463,467,479
06P323,"Islamic Azad University, Boukan",81,434,439,449
52B544,Universidade do Sul de Santa Catarina,49,331,340,345
30M784,Escuela Politécnica del Ejercito,10,335,344,349
74U033,Andrassy Gyula German Speaking University Budapest,50,463,467,479
62J494,Palawan State University,41,356,364,371
70A172,Pacific Northwest College of Art,10,314,324,328
28Y638,Vali-e-Asr University,343,303,313,317
53Q154,Louisiana State University at Eunice,57,379,386,393
51E441,Emanuel University,49,403,409,418
50B832,University of Louisville,343,356,364,371
91R161,"Moscow State Institute of Radiotechnics, Electronics and Automation (Technical University)",50,456,460,472
50Q479,Milwaukee School of Engineering,641,334,343,348
32L650,University of Mashhad Pnu,75,482,485,497
84V215,Martin-Luther Universität Halle-Wittenberg,121,396,403,411
03B942,Saratov State Medical University,54,460,464,476
63N848,Universitas Islam Malang,57,387,394,402
67W336,Ecole Supérieure d'Electronique de l'Ouest,50,333,342,347
18U705,Université d'Abobo-Adjamé,212,472,476,488
58V281,Universidad Nacional de Chimborazo,92,421,427,437
00S249,Brigham Young University,43,344,353,358
36X704,Dadabhoy Institute of Higher Education,192,428,433,443
74V669,Fachhochschule für Oekonomie und Management (FOM),46,365,373,380
77E485,Nottingham Trent University,63,342,351,356
33R382,University of Birmingham,136,348,356,362
98N591,Universidade de Brasília,54,414,420,429
92P189,Auchi Polytechnic,116,364,372,379
38O059,University of Plymouth,125,394,401,409
66W771,Semnan University,686,373,380,387
06X934,Qinghai Normal University,192,324,333,338
28X858,Barcelona Graduate School of Economics,48,375,382,389
17H637,Lamar University,32,361,369,376
57G130,Pacific Lutheran University,32,403,409,418
31T297,Open University of Hong Kong,66,361,369,376
81D610,Eiilm University,63,294,304,308
52W925,"Institute of Germanic Studies, University of London",86,469,473,485
74F789,Prague Institute of Chemical Technology,68,400,406,415
86M938,Alahgaff University,125,339,348,353
29X145,Stephen F. Austin State University,68,239,252,252
21A830,Trinity Theological Seminary,35,481,484,496
99I775,Chulalongkorn University,10,368,376,383
21I238,Cardinal Stefan Wyszynski University in Warsaw,32,448,453,463
42P239,"University of Computer Studies, Yangon",50,366,374,381
17E969,Tri-State University,48,343,352,357
60V254,"University of California, Berkeley",13,518,520,535
68U119,COSMIQ Institute of Technology,51,458,462,474
16B155,Mercyhurst College,302,429,434,444
62H525,University of Trento,44,326,335,340
98P877,Fachhochschule Bielefeld,67,340,349,354
58U929,Centre College,87,304,314,318
80S850,ITT Technical Institute Fort Wayne,81,487,490,503
41H959,Louisiana State University at Eunice,1047,542,543,558
76S409,Stockholm School of Economics in Riga,125,334,343,348
11V732,University of Social Welfare and Rehabilitation Scinences,44,389,396,404
51H960,Youngstown State University,192,300,310,314
15C096,Shiraz University,54,377,384,391
44I598,McPherson College,14,499,502,515
47N868,Universidad de Belgrano,105,323,332,337
61W098,San Jose State University,302,467,471,483
90C816,Universidad de Alicante,50,370,378,385
37R475,University of Southeastern Philippines,15,435,440,450
21E640,Universidad Tecnológica de El Salvador,50,486,489,502
60B911,West Suburban College of Nursing,60,462,466,478
57O615,Balochistan University of Engineering and Technology Khuzdar,32,311,321,325
57R725,Boise Bible College,42,396,403,411
93X590,Westfälische Wilhelms-Universität Münster,67,393,400,408
01T121,South Bank University,42,288,299,302
17G600,Palacky University,121,437,442,452
85M849,Azerbaijan State Economic University,35,324,333,338
24D352,Technological Education Institute of Mesologgi,40,358,366,373
73E680,Gandhigram Rural Institute,57,411,417,426
17A898,Peru State College,641,432,437,447
60O586,Centro de Enseñanza Técnica Industrial,130,378,385,392
11T710,University of Teesside,113,346,355,360
92R681,Mohi-ud-Din Islamic University,50,467,471,483
01H649,Laikipia University,103,408,414,423
66M967,Universidad de Caldas,46,392,399,407
22C652,Azerbaijan Toursim Institute,50,501,504,517
61M857,"Concordia College, Seward",10,327,336,341
79X905,Ningbo University of Technology,51,428,433,443
62F603,Universidad Nacional de Tumbes,113,325,334,339
13H493,Kyoto University,212,458,462,474
15O524,East-West University,71,460,464,476
88Y146,Darul Huda Islamic University,48,244,256,257
10V389,Kharkiv State Technical University of Construction and Architecture,17,376,383,390
23Q123,Immanuel Kant State University of Russia,31,516,518,532
69W358,Institute of Business Management ,18,431,436,446
24H635,Eastern University,46,381,388,395
42A514,University of Miami,46,485,488,501
44T129,Kabul Health Sciences Institute,24,415,421,430
91V261,Hanazono University,60,418,424,434
82B146,Rider University,43,417,423,433
96D756,Government College University Lahore,48,435,440,450
10N102,Konyang University,15,376,383,390
13U096,Kerman Graduate University of Technology,343,329,338,343
36O980,Tamil Nadu Veterinary and Animal Sciences University,51,418,424,434
92N217,Omsk State Agrarian University,24,352,360,367
12O861,Zhejiang Sci-Tech University ,46,430,435,445
30R856,South Gujarat University,71,367,375,382
06S938,William Jewell College,32,369,377,384
48H812,Fachhochschule Krems,10,390,397,405
56F260,Institute of Business & Technology,51,315,325,330
66R876,Kazak American University,49,376,383,390
72E827,"Islamic Azad University, Ahar",14,416,422,432
04N037,B. S. Abdur Rahman University,57,464,468,480
11V271,Universidad ORT Uruguay,75,294,304,308
41N153,National University of Ireland,46,463,467,479
23T331,Hansung University Seoul,50,409,415,424
42H553,Asia University,121,437,442,452
36N311,Husson College,40,381,388,395
32D110,Kurashiki Sakuyo University,90,400,406,415
40B187,Atlantic International University,13,499,502,515
17R960,Eastern Washington University,50,382,389,396
36I416,Nova Scotia Agricultural College,63,327,336,341
67I181,Ecole Supérieure de Commerce de Marseille-Provence,18,411,417,426
10I608,National Technical University of Athens,686,401,407,416
02B845,"DeVry Institute of Technology, Kansas City",53,496,499,512
56Q309,International University of Kagoshima,105,373,380,387
28U047,Technical University of Denmark,22,410,416,425
42Q684,Fachhochschule Bingen,641,388,395,403
09Q436,Zhongshan University,50,421,427,437
39I104,"DeVry Institute of Technology, Decatur",63,368,376,383
10A993,Mendel University of Agriculture and Forestry,57,454,458,470
69J828,Université de Cocody,13,398,405,413
09X077,Institut Catholique de Toulouse,87,410,416,425
35F328,University of Roorkee,57,422,428,438
41F300,Banat's University of Agricultural Sciences,50,443,448,458
69H755,Yaroslavl State Technical University,397,392,399,407
92C704,Universidad Nacional del Sur,343,329,338,343
18X153,Oslo School of Architecture,103,356,364,371
06U327,East Delta University,113,411,417,426
56Y627,Coventry University,121,498,501,514
89M685,Christopher Newport University,66,443,448,458
56J973,Ueno Gakuen College,63,486,489,502
79O819,Lviv National University Ivan Franko,90,460,464,476
36A556,Karadeniz Technical University,90,375,382,389
37K460,Free University Amsterdam,35,403,409,418
74R060,St. Andrew Georgian University,51,404,410,419
91C139,National Tainan Teachers College,41,461,465,477
60N132,Universidade Castelo Branco,57,411,417,426
52E971,Edinboro University of Pennsylvania,116,390,397,405
53L774,Kigali Institute of Education,121,462,466,478
36A762,Illinois Wesleyan University,13,395,402,410
75K812,Andrew Jackson University,32,385,392,400
63T658,Universidad de la Empresa (UDE),1047,438,443,453
20Q107,University of Qatar,40,418,424,434
32Y275,International College,50,386,393,401
57C665,Dana College,32,257,269,271
16S599,Columbia Commonwealth University,104,502,505,518
